bill_id,bill_title,chamber,committee,status,last_action_date,summary_text,url,keywords
H.R.2390,Maritime Supply Chain Security Act,U.S. House / U.S. Senate,House Transportation and Infrastructure; Senate Commerce,Passed House,2025-06-10,"Authorizes Port Infrastructure Development Program funds for replacing or upgrading Chinese port crane hardware or software. Relevant to terminal equipment security, port resilience, cargo movement, and PANYNJ procurement planning.",https://www.congress.gov/bill/119th-congress/house-bill/2390,"port, maritime, cargo, infrastructure, supply chain, crane, cybersecurity"
S.1238,Securing Smart Investments in our Ports Act,U.S. Senate,Commerce,Introduced,2025-04-01,Would require equitable geographic distribution of Port Infrastructure Development Program projects. Important for competitive federal funding strategy and Northeast port infrastructure positioning.,https://www.congress.gov/bill/119th-congress/senate-bill/1238,"port, infrastructure, PIDP, federal authorization, grant funding"
H.R.6866,Securing Smart Investments in our Ports Act,U.S. House,Transportation and Infrastructure,Introduced,2026-02-02,"House companion to ensure equitable geographic distribution of Port Infrastructure Development Program selections, with relevance to port grant competitiveness and regional infrastructure funding.",https://www.congress.gov/bill/119th-congress/house-bill/6866,"port, infrastructure, PIDP, federal authorization, grant funding"
WRDA 2026,Water Resources Development Act of 2026 stakeholder priorities,U.S. House,Transportation and Infrastructure,WRDA Watch,2025-12-17,"House hearing record for Water Resources Development Act of 2026 stakeholder priorities. High relevance for harbor navigation, dredging, USACE authorizations, water resources, and port infrastructure planning.",https://www.congress.gov/event/119th-congress/house-event/118691,"WRDA, water resources, harbor, navigation, infrastructure, port"
CRS IF13112,Water Resources Development Acts: Primer and Action in the 119th Congress,Congressional Research Service,Transportation and Infrastructure; Environment and Public Works,WRDA Watch,2025-09-25,CRS notes the 119th Congress may consider WRDA 2026 and explains the authorizing role of WRDAs for USACE studies and projects. Useful as background for federal harbor and water infrastructure tracking.,https://www.congress.gov/crs-product/IF13112,"WRDA, water resources, USACE, harbor, federal authorization"
S.1541,SHIPS for America Act of 2025,U.S. Senate,Commerce,Introduced,2025-04-30,"Supports the U.S. maritime industry and maritime workforce through national strategy, shipbuilding, maritime logistics, and workforce provisions that may affect port-adjacent labor and supply chain planning.",https://www.congress.gov/bill/119th-congress/senate-bill/1541/text,"maritime, workforce development, logistics, shipping, supply chain"
H.R.3151,SHIPS for America Act of 2025,U.S. House,Transportation and Infrastructure,Introduced,2025-05-01,"House version of maritime strategy and workforce legislation touching shipbuilding, maritime logistics, and domestic maritime capacity. Relevant to workforce development and goods movement resilience.",https://www.congress.gov/bill/119th-congress/house-bill/3151/text,"maritime, workforce development, logistics, shipping, supply chain"
S.1968,Working Waterfronts Act of 2025,U.S. Senate,Commerce,Introduced,2025-06-05,"Includes working waterfront and maritime workforce provisions that could affect port-adjacent economic development, training, waterfront infrastructure, and coastal resilience programs.",https://www.congress.gov/bill/119th-congress/senate-bill/1968/text,"maritime, waterfront, workforce development, coastal infrastructure"
S.2243,International Maritime Pollution Accountability Act of 2025,U.S. Senate,Environment and Public Works,Introduced,2025-07-09,"Includes port authority eligibility, zero-emission port equipment, vessel and cargo/freight provisions, and maritime workforce training language. Relevant to clean port investments and emissions strategy.",https://www.congress.gov/bill/119th-congress/senate-bill/2243/text,"zero-emission port, maritime, freight, cargo, workforce, clean ports"
H. Rept. 119-212,FY2026 Transportation HUD Appropriations - Port Infrastructure Development Program,U.S. House,Appropriations,Reported,2025-07-21,"Committee report includes FY2026 Port Infrastructure Development Program funding recommendations and describes eligibility for port authorities, states, local governments, and transportation entities.",https://www.congress.gov/committee-report/119th-congress/house-report/212/1,"appropriations, PIDP, port, infrastructure funding, cargo"
